Messages,Free entropy density,density,entropy density,stability,physical
"[[1.0126655217352746e-06, 0.9999989873343169], [1.6139061742585604e-13, 3.574728670337271e-30]]",-14.813033988770428,2.7255393482602113e-58,-14.813033988770428,False,True
"[[1.9778614460836367e-06, 0.9999980221379383], [6.15656347157097e-13, 1.090920614865084e-29]]",-14.143602853234711,2.7255404429061086e-58,-14.143602853234711,False,True
"[[3.090406887662266e-06, 0.9999969095916093], [1.5030672552305554e-12, 1.9057598860068098e-29]]",-13.69731519517034,1.5601911100555274e-58,-13.69731519517034,False,True
"[[3.863007200452416e-06, 0.9999961369904509], [2.3485425862977425e-12, 2.9777498218831965e-29]]",-13.474171258466697,1.950239514992831e-58,-13.474171258466697,False,True
"[[4.828756798807118e-06, 0.9999951712395316], [3.669597791090223e-12, 4.65273409668944e-29]]",-13.251027225415541,2.437800374093711e-58,-13.251027225415541,False,True
"[[6.035942558261514e-06, 0.9999939640517082], [5.733746548578473e-12, 7.269897026073432e-29]]",-13.027883071929914,3.0472519994225905e-58,-13.027883071929914,False,True
"[[6.748386664299814e-06, 0.9999932516061687], [7.16718318572309e-12, 9.087371282589774e-29]]",-12.916310940889204,3.4069323183736984e-58,-12.916310940889204,False,True
"[[7.544922822440602e-06, 0.9999924550682187], [8.958978982153862e-12, 1.1359214103234963e-28]]",-12.804738767901043,3.809067392730265e-58,-12.804738767901043,False,True
"[[9.431145129010163e-06, 0.9999905688408726], [1.3998404659615408e-11, 1.7748772036298663e-28]]",-12.581594275692922,4.7613379806907755e-58,-12.581594275692922,False,True
"[[1.0544335265127244e-05, 0.9999894556472368], [1.749800582451926e-11, 2.2185965045370176e-28]]",-12.470021944748204,5.323340161960614e-58,-12.470021944748204,False,True
"[[1.178891828776277e-05, 0.9999882110598397], [2.1872507280649073e-11, 2.77324563067092e-28]]",-12.358449548260396,5.951678319281758e-58,-12.358449548260396,False,True
